timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
78999994129993,陀螺仪,,,,,,,,0.0205,0.2284,0.2443
79000011648066,加速度计,0.3525,7.5429,6.5793,,,,,,,
79000032182936,GPS,,,,31.9407,118.7900,0.0000,0.0000,,,
79000021663483,加速度计,0.1712,6.7337,7.4053,,,,,,,
79000014159576,陀螺仪,,,,,,,,0.0111,0.1972,0.1884
79000031679733,加速度计,-1.3108,6.6762,6.5673,,,,,,,
79000034192493,陀螺仪,,,,,,,,0.0274,0.1740,0.2169
79000041696816,加速度计,2.1255,7.9074,6.0932,,,,,,,
79000051714733,加速度计,2.7246,7.6956,6.7163,,,,,,,
79000054228743,陀螺仪,,,,,,,,0.0100,0.2019,0.1075
79000061733483,加速度计,0.6865,7.3185,6.4536,,,,,,,
79000071753066,加速度计,-1.2516,6.9180,6.2638,,,,,,,
79000074268326,陀螺仪,,,,,,,,0.0357,0.1599,0.0751
79000081773483,加速度计,-0.3531,7.9930,5.2559,,,,,,,
79000091794733,加速度计,1.5526,8.7795,4.9698,,,,,,,
79000094311139,陀螺仪,,,,,,,,0.0152,0.1425,0.0767
79000101816608,加速度计,2.0524,8.4737,5.7898,,,,,,,
79000111838899,加速度计,1.3563,7.7698,6.2429,,,,,,,
79000121861608,加速度计,0.9798,7.7111,5.7527,,,,,,,
79000114355930,陀螺仪,,,,,,,,0.0330,0.1622,-0.0091
79000131884524,加速度计,0.2693,8.8041,4.3838,,,,,,,
79000134401764,陀螺仪,,,,,,,,0.0530,0.1277,-0.0463
79000141907441,加速度计,-1.1396,9.3440,4.0336,,,,,,,
79000151930358,加速度计,-0.7446,8.8101,5.6288,,,,,,,
79000154446868,陀螺仪,,,,,,,,0.0224,0.0427,-0.0642
79000161951816,加速度计,0.0257,8.9962,5.5282,,,,,,,
79000171971399,加速度计,0.8769,8.7556,5.3463,,,,,,,
79000174485722,陀螺仪,,,,,,,,0.0461,-0.0080,-0.2073
79000181990358,加速度计,0.4214,8.5449,4.6513,,,,,,,
79000192009108,加速度计,-0.8434,8.5796,4.5627,,,,,,,
79000202027858,加速度计,-0.8206,8.6287,5.3403,,,,,,,
79000194523222,陀螺仪,,,,,,,,0.0293,-0.0775,-0.3394
79000212046816,加速度计,-0.6710,8.4557,5.9891,,,,,,,
79000214562285,陀螺仪,,,,,,,,0.0254,-0.1905,-0.4077
79000222066816,加速度计,0.6003,8.4042,6.0950,,,,,,,
79000232085149,加速度计,1.4234,8.2510,5.7371,,,,,,,
79000234598951,陀螺仪,,,,,,,,0.0399,-0.2736,-0.5776
79000242103483,加速度计,0.9732,8.0834,5.4690,,,,,,,
79000252121816,加速度计,0.2143,7.9763,5.5635,,,,,,,
79000254635618,陀螺仪,,,,,,,,0.0386,-0.2899,-0.6618
79000262140149,加速度计,-0.5142,8.1271,5.3846,,,,,,,
79000272158483,加速度计,-0.4160,8.0667,5.5486,,,,,,,
79000274672285,陀螺仪,,,,,,,,0.0252,-0.2619,-0.5900
79000282176816,加速度计,-0.4423,8.1175,5.5138,,,,,,,
79000292195149,加速度计,-0.9481,8.1924,5.4636,,,,,,,
79000294708951,陀螺仪,,,,,,,,0.0153,-0.2535,-0.5599
79000302213483,加速度计,-0.9697,8.1672,5.7066,,,,,,,
79000312231816,加速度计,-1.1169,8.2971,5.4444,,,,,,,
79000314745618,陀螺仪,,,,,,,,0.0198,-0.2944,-0.6067
79000322250149,加速度计,-1.4036,8.5311,5.0476,,,,,,,
79000332268483,加速度计,-2.1069,8.6245,4.8596,,,,,,,
79000334782285,陀螺仪,,,,,,,,0.0144,-0.3527,-0.6569
79000342286816,加速度计,-2.2332,8.8316,4.6849,,,,,,,
79000352305149,加速度计,-2.4343,9.1123,4.9584,,,,,,,
79000354819108,陀螺仪,,,,,,,,0.0085,-0.4032,-0.6479
79000362323743,加速度计,-2.1512,9.4194,4.8536,,,,,,,
79000372342493,加速度计,-1.6299,9.4116,4.3449,,,,,,,
79000382361503,加速度计,-1.3970,9.1435,3.7733,,,,,,,
79000374856764,陀螺仪,,,,,,,,0.0084,-0.4097,-0.6132
79000392380670,加速度计,-1.5407,9.0184,4.0941,,,,,,,
79000402399837,加速度计,-1.8004,9.0136,4.7333,,,,,,,
79000394895097,陀螺仪,,,,,,,,-0.0045,-0.3831,-0.5824
79000412419003,加速度计,-1.7669,9.4014,5.1445,,,,,,,
79000414933430,陀螺仪,,,,,,,,0.0093,-0.3719,-0.4764
79000422438170,加速度计,-1.1229,9.7570,4.4897,,,,,,,
79000432457337,加速度计,-0.3915,9.9545,3.1801,,,,,,,
79000442476503,加速度计,0.0341,9.2009,4.0324,,,,,,,
79000434971764,陀螺仪,,,,,,,,0.0033,-0.3352,-0.3529
79000452495670,加速度计,-0.4082,8.5527,5.6467,,,,,,,
79000462517441,加速度计,-0.9337,8.8579,5.5749,,,,,,,
79000455011660,陀螺仪,,,,,,,,0.0003,-0.2517,-0.2551
79000472543899,加速度计,-0.6482,10.0562,4.6549,,,,,,,
79000482560566,加速度计,-0.5058,9.9491,3.2477,,,,,,,
79000475056451,陀螺仪,,,,,,,,0.0272,-0.1655,-0.1024
79000492577233,加速度计,-0.4256,8.7071,5.3702,,,,,,,
79000495089785,陀螺仪,,,,,,,,-0.0190,-0.1049,-0.0249
79000502593899,加速度计,-0.9415,6.9767,7.5980,,,,,,,
79000512610566,加速度计,-1.5694,8.3881,5.6108,,,,,,,
79000522627493,加速度计,-1.1965,10.6033,4.2707,,,,,,,
79000515123274,陀螺仪,,,,,,,,0.0646,-0.0882,0.0117
79000532644837,加速度计,-1.0247,10.1041,4.6304,,,,,,,
79000535158170,陀螺仪,,,,,,,,0.0240,-0.1165,0.0148
79000542662597,加速度计,-2.3326,6.7965,3.5219,,,,,,,
79000552680774,加速度计,-1.0780,7.0647,6.8480,,,,,,,
79000555194733,陀螺仪,,,,,,,,0.0541,-0.1330,0.0696
79000562699368,加速度计,-0.5339,10.4896,0.7578,,,,,,,
79000572718378,加速度计,-0.0820,9.1566,1.5760,,,,,,,
79000575232962,陀螺仪,,,,,,,,-0.0310,-0.1254,0.0274
79000582737805,加速度计,-0.6027,7.4148,5.4103,,,,,,,
79000592757649,加速度计,0.0036,7.9248,8.1289,,,,,,,
79000595272858,陀螺仪,,,,,,,,-0.0258,-0.1157,-0.0174
79000602777910,加速度计,-0.4992,9.4757,7.4142,,,,,,,
79000612798587,加速度计,-1.5173,9.7384,4.0187,,,,,,,
79000615314264,陀螺仪,,,,,,,,0.0047,-0.1055,0.0451
79000622819420,加速度计,-0.6261,7.9859,3.7487,,,,,,,
79000632840253,加速度计,-1.1636,7.4980,4.4843,,,,,,,
79000635355930,陀螺仪,,,,,,,,-0.0288,-0.0755,0.1330
79000642861087,加速度计,-0.8080,8.5335,5.3618,,,,,,,
79000652881920,加速度计,0.5393,10.4926,5.3654,,,,,,,
79000655397597,陀螺仪,,,,,,,,-0.0129,-0.0009,0.2362
79000662902753,加速度计,-0.2412,10.3519,4.3173,,,,,,,
79000672923587,加速度计,-0.1814,7.4795,5.9107,,,,,,,
79000682943378,加速度计,-0.6243,7.4765,4.8153,,,,,,,
79000675438639,陀螺仪,,,,,,,,-0.0284,0.0756,0.3093
79000692962545,加速度计,-2.0680,8.8909,2.8084,,,,,,,
79000695476816,陀螺仪,,,,,,,,-0.0228,0.0826,0.3915
79000702981451,加速度计,-1.3108,9.0208,3.1747,,,,,,,
79000713001243,加速度计,-0.9194,8.8316,5.4761,,,,,,,
79000715515930,陀螺仪,,,,,,,,-0.0563,0.0847,0.4241
79000723020149,加速度计,-1.2204,8.7071,4.4311,,,,,,,
79000733037233,加速度计,-0.3017,8.2456,5.8784,,,,,,,
79000735550097,陀螺仪,,,,,,,,-0.0369,0.1206,0.4422
79000743054316,加速度计,-0.1820,9.3775,5.2607,,,,,,,
79000753071399,加速度计,-0.6369,10.0904,5.6850,,,,,,,
79000755584264,陀螺仪,,,,,,,,-0.0073,0.1453,0.4607
79000763088483,加速度计,-0.0916,8.8143,3.6302,,,,,,,
79000773105566,加速度计,0.6794,7.3275,4.7579,,,,,,,
79000775618639,陀螺仪,,,,,,,,0.0246,0.1095,0.4325
79000783122962,加速度计,1.0068,9.2536,1.9459,,,,,,,
79000793140774,加速度计,0.4513,8.9633,5.6437,,,,,,,
79000795654472,陀螺仪,,,,,,,,0.0120,0.0571,0.3159
79000803159003,加速度计,1.3234,10.8589,5.2056,,,,,,,
79000813177649,加速度计,0.6644,11.3312,4.0797,,,,,,,
79000815691972,陀螺仪,,,,,,,,0.0222,-0.0224,0.2037
79000823196712,加速度计,0.3753,8.6311,3.0466,,,,,,,
79000833216191,加速度计,-0.6470,10.4082,0.8900,,,,,,,
79000835731139,陀螺仪,,,,,,,,-0.0048,-0.1174,0.0776
