timestamp_ns,累计采样数
1568414840915518,320
1568414879986768,640
1568414921203852,960
1568414963312289,1280
1568415000676560,1600
1568415040670102,1920
1568415080840726,2240
1568415120398279,2560
1568415160512914,2880
1568415201210258,3200
1568415242655310,3520
1568415280517601,3840
1568415320845362,4160
1568415360983018,4480
1568415400778122,4800
1568415440786976,5120
1568415484357393,5440
1568415520951299,5760
1568415561249268,6080
1568415601610622,6400
1568415640302549,6720
1568415682221820,7040
1568415720183278,7360
1568415761951768,7680
1568415801533435,8000
1568415842785830,8320
1568415881094685,8640
1568415920785466,8960
1568415960731924,9280
1568416000923955,9600
1568416041336507,9920
1568416080744059,10240
1568416120298539,10560
1568416160907341,10880
1568416200914424,11200
1568416242584997,11520
1568416280660934,11840
1568416321577341,12160
1568416363213799,12480
1568416401700101,12800
1568416444066195,13120
1568416480661872,13440
1568416520342861,13760
1568416562685518,14080
1568416603374528,14400
1568416640765882,14720
1568416680317809,15040
1568416720874424,15360
1568416762148278,15680
1568416804855674,16000
1568416840786767,16320
1568416881254007,16640
1568416921102392,16960
1568416960716611,17280
1568417000187653,17600
1568417041739163,17920
1568417081502757,18240
1568417121590830,18560
1568417160688122,18880
1568417201383642,19200
1568417242058538,19520
1568417281182288,19840
1568417321397861,20160
1568417360534215,20480
1568417400631507,20800
1568417440373642,21120
1568417480816351,21440
1568417520537184,21760
1568417560978955,22080
1568417601382444,22400
1568417641121715,22720
1568417681162496,23040
1568417720968746,23360
1568417761011871,23680
1568417801238173,24000
1568417840316090,24320
1568417881609111,24640
1568417920555882,24960
1568417960818590,25280
1568418000382444,25600
1568418041749944,25920
1568418080740205,26240
1568418120467548,26560
1568418161373746,26880
1568418201021454,27200
1568418240381246,27520
1568418280827548,27840
1568418320288746,28160
1568418361153954,28480
1568418400339371,28800
1568418441170465,29120
1568418480362652,29440
1568418520610621,29760
1568418560396350,30080
1568418600414423,30400
1568418648186871,30720
1568418681619371,31040
1568418723608902,31360
1568418760428694,31680
1568418800845985,32000
1568418840729319,32320
1568418880288590,32640
1568418921346871,32960
1568418963731558,33280
1568419000812600,33600
1568419041083850,33920
1568419080314579,34240
1568419120208277,34560
1568419160471298,34880
1568419201439475,35200
1568419240265621,35520
1568419280766037,35840
1568419320900881,36160
1568419360583225,36480
1568419403672808,36800
1568419440777496,37120
1568419480343641,37440
1568419520901975,37760
1568419560685516,38080
1568419601134475,38400
1568419640743798,38720
1568419680877496,39040
1568419720256246,39360
1568419760825673,39680
1568419800615412,40000
1568419840528693,40320
1568419880520152,40640
1568419920571037,40960
1568419961022287,41280
1568420001054631,41600
1568420040698641,41920
1568420080410568,42240
1568420120821818,42560
1568420160102079,42880
1568420200820308,43200
1568420242329735,43520
1568420281719006,43840
1568420320916818,44160
1568420360994058,44480
1568420400836714,44800
1568420440300672,45120
1568420480825777,45440
1568420520862547,45760
1568420561579266,46080
1568420601123589,46400
1568420647108641,46720
1568420680385256,47040
1568420720585568,47360
1568420765457391,47680
1568420813222235,48000
1568420840606506,48320
1568420880435828,48640
1568420920517599,48960
1568420960509266,49280
1568421001760880,49600
1568421040705568,49920
1568421081428901,50240
1568421121092287,50560
1568421161169526,50880
1568421200494787,51200
1568421240515828,51520
1568421280518693,51840
1568421320928380,52160
1568421361424370,52480
1568421401561505,52800
1568421442967391,53120
1568421482999162,53440
1568421521121349,53760
1568421561583484,54080
1568421601385099,54400
1568421640504214,54720
1568421683019109,55040
1568421723105047,55360
1568421762152339,55680
1568421800348797,56000
1568421840802651,56320
1568421881498901,56640
1568421920792859,56960
1568421962019213,57280
1568422000558432,57600
1568422041384005,57920
1568422081465307,58240
