timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
1568223218373512,加速度计,-0.3358,3.9690,9.8162,,,,,,,
1568223215878043,陀螺仪,,,,,,,,0.8226,-1.6103,0.4040
1568223233931008,GPS,,,,31.9435,118.7807,0.0000,0.0000,,,
1568223228391429,加速度计,0.8182,4.4047,10.5105,,,,,,,
1568223238409346,加速度计,0.7464,4.6250,10.7727,,,,,,,
1568223235913877,陀螺仪,,,,,,,,1.1882,-1.8051,0.2772
1568223248427262,加速度计,1.1169,4.8955,10.1807,,,,,,,
1568223255949710,陀螺仪,,,,,,,,1.6232,-2.2978,0.0879
1568223258445179,加速度计,0.8487,4.7411,9.5409,,,,,,,
1568223268463096,加速度计,0.6883,4.7698,8.9286,,,,,,,
1568223275985543,陀螺仪,,,,,,,,1.8054,-2.7344,-0.0109
1568223278481012,加速度计,1.0469,4.8088,7.9990,,,,,,,
1568223288498929,加速度计,0.2077,5.6306,8.8568,,,,,,,
1568223296021377,陀螺仪,,,,,,,,2.0773,-2.7781,0.0024
1568223298516846,加速度计,-0.1353,9.2787,5.3522,,,,,,,
1568223308534762,加速度计,0.9331,8.0242,5.5252,,,,,,,
1568223316057210,陀螺仪,,,,,,,,2.1721,-0.9822,-0.1301
1568223318552679,加速度计,0.7739,6.4751,4.8153,,,,,,,
1568223328570596,加速度计,0.8386,5.9286,4.1366,,,,,,,
1568223336093408,陀螺仪,,,,,,,,1.5718,1.0818,-0.1811
1568223338588773,加速度计,0.6470,5.7970,4.5580,,,,,,,
1568223348607366,加速度计,0.8853,5.7922,5.1619,,,,,,,
1568223356131221,陀螺仪,,,,,,,,0.9956,2.6811,-0.3100
1568223358626377,加速度计,0.7901,5.6084,6.4560,,,,,,,
1568223368645543,加速度计,1.0959,5.6342,7.8739,,,,,,,
1568223376169554,陀螺仪,,,,,,,,1.1513,3.0997,-0.6883
1568223378664710,加速度计,1.4826,6.2782,8.3617,,,,,,,
1568223388683877,加速度计,0.9188,6.6756,9.0740,,,,,,,
1568223396207887,陀螺仪,,,,,,,,2.0259,2.3407,-1.0689
1568223398703043,加速度计,0.3615,7.0138,9.3248,,,,,,,
1568223408722210,加速度计,0.1197,6.8738,9.1093,,,,,,,
1568223416246221,陀螺仪,,,,,,,,2.8743,0.8413,-0.9468
1568223418741377,加速度计,0.1149,6.2920,8.2211,,,,,,,
1568223428760543,加速度计,0.1951,5.7982,7.2526,,,,,,,
1568223436284554,陀螺仪,,,,,,,,3.0913,0.3089,-0.7308
1568223438779710,加速度计,0.3843,5.6695,6.4536,,,,,,,
1568223448802002,加速度计,0.1796,5.8586,5.8975,,,,,,,
1568223456329710,陀螺仪,,,,,,,,2.7107,0.7153,-0.5980
1568223458827054,加速度计,0.0401,6.2962,5.6617,,,,,,,
1568223468837471,加速度计,0.0042,6.7935,5.9233,,,,,,,
1568223478848148,加速度计,0.3693,7.2209,6.5320,,,,,,,
1568223476350908,陀螺仪,,,,,,,,2.1485,1.2864,-0.4068
1568223488859502,加速度计,0.4178,7.4945,7.2712,,,,,,,
1568223498871689,加速度计,-0.0138,7.6303,7.8691,,,,,,,
1568223496374866,陀螺仪,,,,,,,,1.7607,1.5610,-0.2615
1568223508884971,加速度计,-0.4896,7.6046,7.9865,,,,,,,
1568223518899502,加速度计,-0.8152,7.4136,7.7776,,,,,,,
1568223516403304,陀螺仪,,,,,,,,1.5237,0.9466,-0.0912
1568223528915543,加速度计,-0.6105,6.9755,7.4136,,,,,,,
1568223536437887,陀螺仪,,,,,,,,1.1900,0.3875,-0.0225
1568223538933252,加速度计,-0.2951,6.7469,7.2239,,,,,,,
1568223548952366,加速度计,-0.2322,6.8432,6.9372,,,,,,,
1568223556477991,陀螺仪,,,,,,,,0.8354,0.3450,-0.1366
1568223558972731,加速度计,-0.3388,7.0539,6.8301,,,,,,,
1568223568994346,加速度计,-0.3579,7.3484,6.9300,,,,,,,
1568223576523096,陀螺仪,,,,,,,,0.6992,0.4117,-0.2555
1568223579017210,加速度计,0.0425,7.8584,7.3849,,,,,,,
1568223589041064,加速度计,0.4238,8.5485,7.7321,,,,,,,
1568223596571689,陀螺仪,,,,,,,,0.9056,0.3336,-0.4473
1568223599065491,加速度计,-0.1891,8.8286,7.5597,,,,,,,
1568223609090335,加速度计,-0.6381,8.9842,7.0222,,,,,,,
1568223619115335,加速度计,-0.6381,9.1225,6.4242,,,,,,,
1568223616621637,陀螺仪,,,,,,,,1.1127,-0.1558,-0.2932
1568223629140335,加速度计,-0.5441,9.0800,5.7144,,,,,,,
1568223639161429,加速度计,-0.8027,8.7670,5.0392,,,,,,,
1568223636666168,陀螺仪,,,,,,,,1.0701,-0.1936,0.0587
1568223649180179,加速度计,-1.1612,8.5317,4.8064,,,,,,,
1568223656703668,陀螺仪,,,,,,,,0.7490,0.1722,0.4802
1568223659198929,加速度计,-0.9798,8.3157,4.9722,,,,,,,
1568223669217679,加速度计,-0.7697,8.1660,5.2158,,,,,,,
1568223676741168,陀螺仪,,,,,,,,0.3028,0.6374,0.6204
1568223679236429,加速度计,-0.7314,8.1074,5.7581,,,,,,,
1568223689255179,加速度计,-0.6835,8.3276,6.0986,,,,,,,
1568223699275752,加速度计,-0.4244,8.3995,6.5044,,,,,,,
1568223696783043,陀螺仪,,,,,,,,-0.0712,0.6220,0.4463
1568223709295543,加速度计,-0.3519,8.2426,6.6230,,,,,,,
1568223719307210,加速度计,-0.4399,8.0122,6.5440,,,,,,,
1568223716810179,陀螺仪,,,,,,,,-0.2626,0.4033,0.1782
1568223729319137,加速度计,-0.9846,7.9775,6.4069,,,,,,,
1568223736834658,陀螺仪,,,,,,,,-0.3044,0.0539,-0.0021
1568223739331481,加速度计,-0.7841,7.8338,6.2620,,,,,,,
1568223749344502,加速度计,-0.8404,7.9853,5.8317,,,,,,,
1568223756861950,陀螺仪,,,,,,,,-0.4342,-0.4987,-0.1065
1568223759358356,加速度计,-1.2516,8.8214,7.6698,,,,,,,
1568223769373304,加速度计,0.1556,7.9476,5.5061,,,,,,,
1568223779389502,加速度计,-1.5724,9.1357,6.4727,,,,,,,
1568223776893721,陀螺仪,,,,,,,,-0.3196,-0.5760,-0.3081
1568223789406950,加速度计,0.3843,9.3410,6.2010,,,,,,,
1568223799425648,加速度计,-0.2215,10.4884,7.5818,,,,,,,
1568223796930491,陀螺仪,,,,,,,,0.0052,-0.7954,-0.3111
1568223809445596,加速度计,-0.3519,10.0850,6.9923,,,,,,,
1568223816972262,陀螺仪,,,,,,,,0.4651,-1.2465,-0.2368
1568223819466793,加速度计,-0.6548,9.0423,6.4512,,,,,,,
1568223829488981,加速度计,-0.8625,8.2384,5.3546,,,,,,,
1568223839512002,加速度计,-0.9391,7.9954,4.3515,,,,,,,
1568223837017887,陀螺仪,,,,,,,,0.5525,-1.1771,-0.2028
1568223849535596,加速度计,-1.2582,8.1056,3.7332,,,,,,,
1568223859559606,加速度计,-1.9507,8.2594,3.4405,,,,,,,
1568223857065700,陀螺仪,,,,,,,,0.3028,-0.5631,-0.1350
1568223869583773,加速度计,-1.8926,8.6335,3.7535,,,,,,,
1568223879607939,加速度计,-1.1390,8.6766,4.1851,,,,,,,
1568223877114033,陀螺仪,,,,,,,,0.0855,-0.0961,-0.0712
1568223889629762,加速度计,-0.8356,8.4126,5.7401,,,,,,,
1568223897153877,陀螺仪,,,,,,,,0.1868,-0.1931,-0.0529
1568223899649137,加速度计,-0.1580,9.4278,6.3638,,,,,,,
1568223909667887,加速度计,0.3496,9.5672,6.3979,,,,,,,
1568223919686637,加速度计,-0.3531,9.0489,5.4947,,,,,,,
1568223917191377,陀螺仪,,,,,,,,0.4385,-0.2392,-0.1838
1568223929705387,加速度计,-1.3396,8.6556,4.7734,,,,,,,
1568223937228877,陀螺仪,,,,,,,,0.4811,-0.1503,-0.1895
1568223939724137,加速度计,-1.6388,8.5036,4.1162,,,,,,,
1568223949743408,加速度计,-1.9932,8.5341,3.7266,,,,,,,
1568223957266429,陀螺仪,,,,,,,,0.3670,-0.0176,-0.2599
1568223959762002,加速度计,-2.0303,8.6808,3.7804,,,,,,,
1568223969779502,加速度计,-2.1237,8.5808,3.9139,,,,,,,
1568223979797002,加速度计,-1.9842,13.7613,1.7573,,,,,,,
1568223977301429,陀螺仪,,,,,,,,0.2972,-0.1694,-0.0008
1568223989814502,加速度计,-0.0257,9.0190,3.2232,,,,,,,
1568223997336429,陀螺仪,,,,,,,,0.2621,0.1146,0.2063
1568223999832002,加速度计,-1.5754,7.9589,5.1296,,,,,,,
1568224009849502,加速度计,-1.6783,10.9654,3.2890,,,,,,,
1568224017371429,陀螺仪,,,,,,,,0.3316,-0.0848,0.2694
1568224019867002,加速度计,-1.0714,9.3027,4.7238,,,,,,,
1568224029884502,加速度计,-0.3077,8.8735,2.7635,,,,,,,
1568224037406846,陀螺仪,,,,,,,,0.1940,0.2967,0.2166
1568224039902314,加速度计,-0.8194,8.8322,3.7631,,,,,,,
1568224049920543,加速度计,-0.1975,8.7173,3.9857,,,,,,,
1568224057443929,陀螺仪,,,,,,,,0.1482,0.4803,0.1647
1568224059939189,加速度计,0.6883,8.6161,5.1936,,,,,,,
1568224069958252,加速度计,0.6189,8.4186,5.3175,,,,,,,
1568224079977418,加速度计,-0.1909,8.9705,4.9225,,,,,,,
1568224077482262,陀螺仪,,,,,,,,0.4354,0.1338,-0.0111
1568224089996585,加速度计,0.6476,8.9609,2.8222,,,,,,,
1568224097520596,陀螺仪,,,,,,,,0.8625,0.5808,-0.2008
1568224100015752,加速度计,0.5776,7.7015,2.0578,,,,,,,
1568224110034918,加速度计,-0.6237,7.1724,1.4664,,,,,,,
1568224117558929,陀螺仪,,,,,,,,1.5075,1.4931,-0.4863
1568224120054085,加速度计,-0.9816,7.7273,2.2883,,,,,,,
1568224130073252,加速度计,-0.3591,8.2600,3.2783,,,,,,,
1568224137597262,陀螺仪,,,,,,,,1.4952,2.6433,-0.5189
1568224140092418,加速度计,-0.7979,13.3764,-10.0934,,,,,,,
1568224150111585,加速度计,-4.4730,11.0792,17.3873,,,,,,,
1568224157635596,陀螺仪,,,,,,,,-0.8693,2.1299,0.4786
1568224160130752,加速度计,1.0750,8.6024,9.0357,,,,,,,
1568224170149918,加速度计,-2.1638,8.6921,8.7095,,,,,,,
1568224177673929,陀螺仪,,,,,,,,0.7792,-2.1216,0.1597
1568224180169085,加速度计,-1.8543,8.6766,5.0781,,,,,,,
1568224190188252,加速度计,-0.8799,7.9900,-3.9636,,,,,,,
1568224200210856,加速度计,0.0928,5.7652,3.2070,,,,,,,
1568224197725231,陀螺仪,,,,,,,,-0.3052,-0.1317,0.1546
1568224210233304,加速度计,1.2821,5.7940,0.1101,,,,,,,
1568224220244137,加速度计,-1.6281,6.0849,8.3204,,,,,,,
1568224217746898,陀螺仪,,,,,,,,-0.4225,0.6332,0.0565
1568224230255283,加速度计,2.9928,5.7509,5.4510,,,,,,,
1568224240267158,加速度计,0.3190,6.8271,5.3325,,,,,,,
1568224237770231,陀螺仪,,,,,,,,-0.3370,-0.4184,-0.4475
1568224250279866,加速度计,1.9100,9.4876,3.6494,,,,,,,
1568224257797314,陀螺仪,,,,,,,,-0.3373,-0.7322,-0.2783
1568224260293721,加速度计,-0.0868,7.3891,6.0747,,,,,,,
1568224270308825,加速度计,-1.6837,7.8673,0.4172,,,,,,,
1568224277829398,陀螺仪,,,,,,,,-0.4178,0.1092,-0.4101
1568224280325179,加速度计,-2.5313,10.1382,2.5193,,,,,,,
1568224290342783,加速度计,-1.9166,9.1411,3.7194,,,,,,,
1568224297866481,陀螺仪,,,,,,,,-0.4952,-0.1019,-0.2859
1568224300361637,加速度计,-2.4588,10.8721,2.6420,,,,,,,
1568224310381741,加速度计,-2.4678,10.6973,3.2214,,,,,,,
1568224317924189,陀螺仪,,,,,,,,-0.4888,0.0240,-0.0756
1568224320414658,加速度计,-2.0830,10.3908,3.4901,,,,,,,
1568224330449866,加速度计,-2.7695,8.6957,4.6807,,,,,,,
1568224337980231,陀螺仪,,,,,,,,-0.3968,0.1041,0.0889
1568224340475491,加速度计,-1.4407,8.7221,5.0649,,,,,,,
1568224350494241,加速度计,-0.8266,9.0154,5.0996,,,,,,,
1568224360512991,加速度计,-1.5425,9.1614,4.2808,,,,,,,
1568224358017731,陀螺仪,,,,,,,,-0.2507,0.0700,0.0893
1568224370531741,加速度计,-2.1530,9.7426,3.4381,,,,,,,
1568224380550491,加速度计,-2.1075,10.1460,2.8497,,,,,,,
1568224378055231,陀螺仪,,,,,,,,-0.2486,0.1579,0.2501
1568224390569241,加速度计,-5.9233,6.6026,0.1790,,,,,,,
1568224398092731,陀螺仪,,,,,,,,-0.5209,0.4121,0.6906
1568224400587991,加速度计,0.4932,8.9136,5.1032,,,,,,,
1568224410606741,加速度计,-3.3710,8.1439,2.5253,,,,,,,
1568224420625491,加速度计,-2.1853,7.2652,3.4746,,,,,,,
1568224418130231,陀螺仪,,,,,,,,-0.6947,0.3911,0.9063
1568224430644241,加速度计,-0.8428,7.2173,4.3844,,,,,,,
1568224438167731,陀螺仪,,,,,,,,-0.7521,0.2734,0.9185
1568224440662991,加速度计,0.9146,7.1575,5.8664,,,,,,,
1568224450684033,加速度计,1.2067,7.1928,6.2752,,,,,,,
1568224458205491,陀螺仪,,,,,,,,-0.5510,0.2212,0.6262
1568224460702523,加速度计,-1.0349,12.8790,4.3568,,,,,,,
1568224470714189,加速度计,-0.2065,15.9041,5.0087,,,,,,,
1568224478229241,陀螺仪,,,,,,,,-0.2518,0.1031,0.3834
1568224480726168,加速度计,1.1851,11.2174,6.0561,,,,,,,
1568224490738564,加速度计,0.8254,9.0004,5.1601,,,,,,,
1568224498255075,陀螺仪,,,,,,,,-0.0831,0.0475,0.1321
1568224500751689,加速度计,0.1796,8.6850,4.5610,,,,,,,
1568224510765960,加速度计,-0.0030,8.4964,4.0983,,,,,,,
1568224520781481,加速度计,-0.2670,8.5641,3.9468,,,,,,,
1568224518285491,陀螺仪,,,,,,,,-0.1358,0.0438,0.0393
1568224530798252,加速度计,-0.7733,8.4659,3.6817,,,,,,,
1568224538320908,陀螺仪,,,,,,,,-0.2605,0.0465,0.0401
1568224540816273,加速度计,-0.7141,8.1810,3.4524,,,,,,,
1568224550835543,加速度计,-0.2490,7.7081,2.9281,,,,,,,
1568224558361325,陀螺仪,,,,,,,,-0.5436,0.0607,0.0537
