timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
1568414672969068,加速度计,-0.9505,7.0910,7.0886,,,,,,,
1568414682989276,加速度计,0.4531,7.5890,7.3999,,,,,,,
1568414693008026,加速度计,-0.2807,6.3009,7.8039,,,,,,,
1568414703026776,加速度计,0.0772,6.9474,4.2958,,,,,,,
1568414713045526,加速度计,0.6099,6.6882,4.1893,,,,,,,
1568414723064276,加速度计,1.1923,7.3478,6.5356,,,,,,,
1568414733083026,加速度计,0.2023,7.8260,9.9114,,,,,,,
1568414743101776,加速度计,0.0826,6.1800,10.9229,,,,,,,
1568414753123391,加速度计,0.0323,6.7540,4.8237,,,,,,,
1568414753131151,陀螺仪,,,,,,,,0.0703,0.0342,0.1571
1568414763138807,加速度计,0.3579,7.4585,1.2977,,,,,,,
1568414773161984,陀螺仪,,,,,,,,-0.0952,-0.0422,0.1276
1568414773154224,加速度计,0.7410,6.4416,7.8452,,,,,,,
1568414783171672,加速度计,0.8877,5.2798,12.9012,,,,,,,
1568414793194901,加速度计,-0.8547,6.6720,9.6558,,,,,,,
1568414793206047,陀螺仪,,,,,,,,0.0952,0.0593,0.1967
1568414803215370,加速度计,0.0198,7.7901,4.6017,,,,,,,
1568414813234120,加速度计,1.3821,6.2746,3.2394,,,,,,,
1568414813243547,陀螺仪,,,,,,,,0.0407,0.0672,0.2212
1568414823252870,加速度计,0.8122,7.8817,3.6613,,,,,,,
1568414833271620,加速度计,-0.3573,7.5214,7.4071,,,,,,,
1568414833281047,陀螺仪,,,,,,,,-0.0525,0.0107,0.0976
1568414843290370,加速度计,-1.5748,6.2195,12.1165,,,,,,,
1568414853309120,加速度计,-0.1933,7.2796,6.3087,,,,,,,
1568414853318547,陀螺仪,,,,,,,,0.0772,0.0668,0.2028
1568414863327870,加速度计,0.2520,8.5353,3.9433,,,,,,,
1568414873346620,加速度计,0.7350,7.2490,4.4843,,,,,,,
1568414873356047,陀螺仪,,,,,,,,-0.0447,0.0434,0.1744
1568414883365370,加速度计,-0.3238,5.5707,7.8931,,,,,,,
1568414893384120,加速度计,-0.1748,6.9426,7.2383,,,,,,,
1568414903402870,加速度计,0.6279,6.1399,9.5134,,,,,,,
1568414893393547,陀螺仪,,,,,,,,-0.0146,0.0582,0.2273
1568414913421620,加速度计,-0.6512,7.6914,7.1617,,,,,,,
1568414913431047,陀螺仪,,,,,,,,0.0272,0.1518,0.2590
1568414923440370,加速度计,-0.9601,7.2993,6.7558,,,,,,,
1568414933459120,加速度计,-0.5471,7.9535,4.0839,,,,,,,
1568414933468547,陀螺仪,,,,,,,,-0.0237,0.1266,0.2977
1568414943477870,加速度计,0.1556,5.3636,8.3522,,,,,,,
1568414953496620,加速度计,-0.7524,6.5230,8.5126,,,,,,,
1568414953506047,陀螺仪,,,,,,,,-0.0242,0.1802,0.3031
1568414963515370,加速度计,-0.2759,6.7816,9.5517,,,,,,,
1568414973534120,加速度计,-2.6803,4.8973,9.7546,,,,,,,
1568414973543547,陀螺仪,,,,,,,,0.0871,0.2453,0.4778
1568414983552870,加速度计,-0.6913,8.8304,1.0403,,,,,,,
1568414993571620,加速度计,1.8651,7.8308,4.7226,,,,,,,
1568414993581047,陀螺仪,,,,,,,,-0.0622,0.2316,0.4413
1568415003590370,加速度计,1.0912,7.2000,10.6907,,,,,,,
1568415013609120,加速度计,-1.8046,5.9813,10.1957,,,,,,,
1568415013618547,陀螺仪,,,,,,,,0.0168,0.2561,0.3201
1568415023627870,加速度计,0.0407,8.1163,5.7730,,,,,,,
1568415033655266,加速度计,1.2971,6.9408,5.1595,,,,,,,
1568415033666932,陀螺仪,,,,,,,,0.0284,0.1735,0.2256
1568415043668964,加速度计,2.4403,7.6201,5.6850,,,,,,,
1568415053673495,加速度计,0.3891,6.5410,8.3893,,,,,,,
1568415053676151,陀螺仪,,,,,,,,-0.0073,0.1535,0.1135
1568415063678807,加速度计,0.3885,6.9330,8.7742,,,,,,,
1568415073685318,加速度计,0.6524,6.6218,6.6301,,,,,,,
1568415083693807,加速度计,0.7883,7.1395,6.2261,,,,,,,
1568415073689484,陀螺仪,,,,,,,,0.0368,0.1582,0.1374
1568415093704380,加速度计,1.3910,6.3500,7.7728,,,,,,,
1568415093710786,陀螺仪,,,,,,,,0.0369,0.1473,0.0876
1568415103717401,加速度计,1.2468,7.4101,5.9227,,,,,,,
1568415113732922,加速度计,0.5082,7.5208,6.2237,,,,,,,
1568415113741828,陀螺仪,,,,,,,,0.0162,0.1726,0.0445
1568415123750943,加速度计,0.6590,7.8727,6.0238,,,,,,,
1568415133771464,加速度计,0.1239,5.9729,8.5886,,,,,,,
1568415133782870,陀螺仪,,,,,,,,0.0095,0.1802,0.0764
1568415143794484,加速度计,0.9834,7.0671,7.2742,,,,,,,
1568415153819641,加速度计,1.3372,6.3153,6.3440,,,,,,,
1568415153833026,陀螺仪,,,,,,,,0.0534,0.2318,0.0864
1568415163846516,加速度计,1.9429,7.0659,3.3100,,,,,,,
1568415173874693,加速度计,1.3994,7.3149,5.1200,,,,,,,
1568415173889224,陀螺仪,,,,,,,,-0.0334,0.2053,0.0009
1568415183903755,加速度计,0.8960,6.2716,9.4541,,,,,,,
1568415193933286,加速度计,0.2209,7.0210,7.5729,,,,,,,
1568415193948130,陀螺仪,,,,,,,,0.0346,0.2007,-0.0248
1568415203962870,加速度计,2.1243,8.6586,5.5444,,,,,,,
1568415213986984,加速度计,2.0010,6.6469,7.7243,,,,,,,
1568415213996984,陀螺仪,,,,,,,,-0.0221,0.1107,-0.2003
1568415224006307,加速度计,0.7739,7.1000,8.0104,,,,,,,
1568415234025057,加速度计,1.6251,6.2070,8.0870,,,,,,,
1568415234034484,陀螺仪,,,,,,,,0.0165,0.0252,-0.3871
1568415244043807,加速度计,0.7392,6.8510,6.3428,,,,,,,
1568415254062557,加速度计,-0.0437,7.4340,5.3139,,,,,,,
1568415254071984,陀螺仪,,,,,,,,0.0222,-0.0582,-0.4844
1568415264081307,加速度计,2.0387,6.2136,7.5776,,,,,,,
1568415274100057,加速度计,1.0283,8.0541,4.5795,,,,,,,
1568415274110734,陀螺仪,,,,,,,,0.0073,-0.1028,-0.5445
1568415284124589,加速度计,0.9421,6.0855,6.6685,,,,,,,
1568415294139380,加速度计,1.2031,7.2766,8.7083,,,,,,,
1568415294143755,陀螺仪,,,,,,,,-0.0309,-0.1249,-0.5404
1568415304148078,加速度计,-0.1814,6.2387,9.6798,,,,,,,
1568415314157193,加速度计,0.8003,7.3993,5.4630,,,,,,,
1568415314162141,陀螺仪,,,,,,,,0.0305,-0.1057,-0.4586
1568415324167089,加速度计,0.4351,6.8031,4.3245,,,,,,,
1568415334178182,加速度计,0.9744,6.3961,8.4300,,,,,,,
1568415334184484,陀螺仪,,,,,,,,-0.0393,-0.1337,-0.4426
1568415344190891,加速度计,-0.0287,6.5661,9.4098,,,,,,,
1568415354205266,加速度计,0.2652,7.7381,8.0798,,,,,,,
1568415354213234,陀螺仪,,,,,,,,0.0238,-0.1164,-0.3775
1568415364221307,加速度计,0.2939,7.0348,7.4190,,,,,,,
1568415374239016,加速度计,-0.8134,6.9210,5.1613,,,,,,,
1568415374248651,陀螺仪,,,,,,,,0.0294,-0.1139,-0.3374
1568415384258391,加速度计,0.3376,6.8049,4.8423,,,,,,,
1568415394279432,加速度计,0.0443,7.9547,5.2505,,,,,,,
1568415394290734,陀螺仪,,,,,,,,-0.0216,-0.1410,-0.3209
1568415404302141,加速度计,-1.5221,6.0106,8.4348,,,,,,,
1568415414326151,加速度计,-0.1897,6.7385,9.1261,,,,,,,
1568415414338755,陀螺仪,,,,,,,,0.0013,-0.1113,-0.2238
1568415424351411,加速度计,-0.4471,6.9384,6.5128,,,,,,,
1568415434377557,加速度计,0.1580,5.8377,7.1036,,,,,,,
1568415434390891,陀螺仪,,,,,,,,0.0309,-0.0605,-0.1282
1568415444404172,加速度计,0.2101,6.8229,4.1875,,,,,,,
1568415454430839,加速度计,-0.5052,6.1034,7.0731,,,,,,,
1568415464457505,加速度计,0.3418,6.2608,8.6838,,,,,,,
1568415454444224,陀螺仪,,,,,,,,-0.0212,-0.0505,-0.0784
1568415474477245,加速度计,0.9278,6.6182,8.7436,,,,,,,
1568415474486672,陀螺仪,,,,,,,,0.0190,0.0123,0.0148
1568415484495995,加速度计,0.7386,6.9109,6.4691,,,,,,,
1568415494514745,加速度计,0.7482,5.4139,8.6987,,,,,,,
1568415494524172,陀螺仪,,,,,,,,0.0282,0.0662,0.0812
1568415504533495,加速度计,1.5221,6.4967,4.6507,,,,,,,
1568415514552245,加速度计,0.1389,7.4897,7.4352,,,,,,,
1568415514561672,陀螺仪,,,,,,,,-0.0229,0.0872,0.1107
1568415524570995,加速度计,1.0696,6.3943,12.2685,,,,,,,
1568415534592089,加速度计,-0.4998,6.0310,10.2939,,,,,,,
1568415534602036,陀螺仪,,,,,,,,0.0895,0.1478,0.1790
1568415544609693,加速度计,-2.5995,8.9172,3.9971,,,,,,,
1568415554625109,加速度计,-2.5462,7.9637,0.5662,,,,,,,
1568415554632870,陀螺仪,,,,,,,,0.1017,0.0290,0.1872
1568415564640526,加速度计,-1.4108,10.0317,3.3202,,,,,,,
1568415574656307,加速度计,3.1472,11.6825,7.3861,,,,,,,
1568415574664432,陀螺仪,,,,,,,,0.0248,-0.0373,0.0019
1568415584672505,加速度计,-0.5567,8.9118,5.1475,,,,,,,
1568415594689120,加速度计,-2.2368,5.1206,8.7071,,,,,,,
1568415594697661,陀螺仪,,,,,,,,0.0141,0.0427,0.0105
1568415604706151,加速度计,-2.6336,7.3035,7.1706,,,,,,,
1568415614723599,加速度计,-0.9894,8.1469,7.0952,,,,,,,
1568415614732557,陀螺仪,,,,,,,,0.0519,0.0862,0.2491
1568415624741464,加速度计,0.2269,10.0838,3.9780,,,,,,,
1568415634759745,加速度计,0.8350,6.5338,7.4322,,,,,,,
1568415634769120,陀螺仪,,,,,,,,-0.0575,0.0583,0.1984
1568415644778443,加速度计,0.9691,6.6038,8.2708,,,,,,,
1568415654797557,加速度计,1.1558,6.6511,6.0394,,,,,,,
1568415654807349,陀螺仪,,,,,,,,-0.0093,0.0844,0.1037
1568415664817089,加速度计,0.9295,7.0102,4.2186,,,,,,,
1568415674837036,加速度计,0.6213,4.3042,8.4539,,,,,,,
1568415674847245,陀螺仪,,,,,,,,-0.0676,0.0451,0.0357
1568415684857401,加速度计,1.1474,7.0970,11.7035,,,,,,,
1568415694878182,加速度计,0.3525,8.8047,8.2031,,,,,,,
1568415694888807,陀螺仪,,,,,,,,0.0610,0.0451,-0.0619
1568415704899380,加速度计,-0.0359,7.6734,4.8686,,,,,,,
1568415714920630,加速度计,0.5022,5.8125,4.5376,,,,,,,
1568415714931307,陀螺仪,,,,,,,,0.0328,-0.0395,-0.1688
1568415724941880,加速度计,-0.7685,6.7391,4.7471,,,,,,,
1568415734963130,加速度计,-0.1514,7.0593,2.8850,,,,,,,
1568415734973807,陀螺仪,,,,,,,,0.0035,-0.1254,-0.2609
1568415744984380,加速度计,-0.8434,7.3089,6.1082,,,,,,,
1568415755004901,加速度计,-1.5299,5.6976,10.4178,,,,,,,
1568415755014536,陀螺仪,,,,,,,,-0.0060,-0.1874,-0.2783
1568415765023859,加速度计,-0.8535,8.1002,9.8833,,,,,,,
1568415775042609,加速度计,-0.5471,9.5936,7.7063,,,,,,,
1568415775054224,陀螺仪,,,,,,,,0.0913,-0.1867,-0.1882
1568415785076203,加速度计,0.3639,6.4769,4.8866,,,,,,,
1568415795080370,加速度计,0.2939,7.2514,4.0061,,,,,,,
1568415795082714,陀螺仪,,,,,,,,0.0478,-0.1750,-0.1734
1568415805084953,加速度计,-0.9744,7.8087,5.4576,,,,,,,
1568415815090370,加速度计,-0.2586,7.2814,7.2281,,,,,,,
1568415815093755,陀螺仪,,,,,,,,-0.0337,-0.2036,-0.1075
1568415825097036,加速度计,-0.2143,6.0849,12.1596,,,,,,,
1568415835105786,加速度计,0.3741,7.0689,7.2909,,,,,,,
1568415835111255,陀螺仪,,,,,,,,0.0839,-0.1305,-0.0501
1568415845116620,加速度计,-0.5668,7.4346,3.8002,,,,,,,
1568415855129953,加速度计,-0.8422,6.6146,5.4360,,,,,,,
1568415855137922,陀螺仪,,,,,,,,0.0246,-0.1112,0.0435
1568415865145786,加速度计,-0.8930,6.1926,8.9675,,,,,,,
1568415875164120,加速度计,-0.6530,7.0916,9.0339,,,,,,,
1568415875174589,陀螺仪,,,,,,,,0.0527,-0.0636,0.1795
1568415885184953,加速度计,0.5405,8.7011,6.4171,,,,,,,
1568415895208286,加速度计,-0.4741,7.5369,6.0567,,,,,,,
1568415895221047,陀螺仪,,,,,,,,0.0019,-0.0583,0.2154
1568415905233703,加速度计,-0.7901,5.1673,13.7924,,,,,,,
1568415915260786,加速度计,0.4705,6.4153,9.5385,,,,,,,
