timestamp_ns,传感器类型,ax(m/s²),ay(m/s²),az(m/s²),纬度,经度,速度(m/s),航向角(°),gx(rad/s),gy(rad/s),gz(rad/s)
345515568810758,陀螺仪,,,,,,,,-0.1917,0.3691,1.3047
345515578815081,加速度计,0.3932,3.8960,9.8360,,,,,,,
345515598650440,GPS,,,,31.9405,118.7894,0.0000,0.0000,,,
345515588823935,加速度计,-0.6841,4.3999,8.3139,,,,,,,
345515588828571,陀螺仪,,,,,,,,-0.1345,0.7762,1.1784
345515598833310,加速度计,-0.7775,4.6890,7.1347,,,,,,,
345515608843623,加速度计,-0.6446,3.9205,7.0856,,,,,,,
345515608849300,陀螺仪,,,,,,,,-0.4846,0.9265,1.3003
345515618855290,加速度计,-1.5730,3.0646,7.2155,,,,,,,
345515628868623,加速度计,-2.0111,2.5402,7.9613,,,,,,,
345515628875967,陀螺仪,,,,,,,,-0.8988,0.9642,1.4978
345515638883623,加速度计,-0.1670,3.1035,7.9176,,,,,,,
345515648900290,加速度计,-0.2580,3.9247,9.1482,,,,,,,
345515648909300,陀螺仪,,,,,,,,-1.0990,0.8320,1.4587
345515658918623,加速度计,-0.4573,4.3281,9.6277,,,,,,,
345515668949300,陀螺仪,,,,,,,,-0.8506,0.6116,1.3705
345515668938623,加速度计,-0.2951,4.1749,10.0215,,,,,,,
345515678960290,加速度计,0.5058,4.3275,10.6787,,,,,,,
345515688995654,陀螺仪,,,,,,,,-0.3222,0.6736,1.2713
345515688983519,加速度计,0.1071,3.5931,10.9840,,,,,,,
345515699007998,加速度计,0.2005,3.3058,10.8625,,,,,,,
345515709033623,加速度计,0.0868,3.2525,10.5967,,,,,,,
345515709046800,陀螺仪,,,,,,,,0.1955,0.4028,1.3505
345515719059977,加速度计,0.0395,3.2028,9.8958,,,,,,,
345515729086644,加速度计,-0.1030,3.1089,9.2033,,,,,,,
345515729100029,陀螺仪,,,,,,,,0.5099,-0.1479,1.5481
345515739112998,加速度计,-0.1502,3.1969,8.7616,,,,,,,
345515749136748,加速度计,-0.0886,3.3142,8.4455,,,,,,,
345515749146175,陀螺仪,,,,,,,,0.6133,-0.2577,1.7199
345515759155498,加速度计,-0.1389,3.2621,8.4108,,,,,,,
345515769174248,加速度计,0.0754,3.5201,8.8226,,,,,,,
345515769183675,陀螺仪,,,,,,,,0.5774,-0.0056,1.8416
345515779192998,加速度计,-0.1580,3.9193,9.0920,,,,,,,
345515789211748,加速度计,0.3364,4.1623,9.4086,,,,,,,
